source,target
1437175591669624840,1437149643633217537
1437175581561409538,1437174781065973763
1437175581083328515,1436171597027504129
1437175577257996288,1436884710785912833
1437175570605948939,1437174781065973763
1437175570522071041,1437127863224967173
1437175564968898564,1437174970963087362
1437175554315329546,1437170171496570882
1437175551106732039,1437170171496570882
1437175543821049856,1436724819379240966
1437175542537674752,1437007820109623296
1437175539920420864,1437149643633217537
1437175536581632005,1437149643633217537
1437175533398228995,1437072803820232708
1437175532521721865,1437170171496570882
1437175530252611593,1436984992559767554
1437175529346580481,1437072803820232708
1437175527056494593,1437149882133979145
1437175519481503750,1436171597027504129
1437175519167062022,1437162999094067201
1437175515715026946,1436607644945420288
1437175510937784321,1437174781065973763
1437175510627459073,1436454844143972352
1437175510044446727,1437170171496570882
1437175507783598083,1437170171496570882
1437175502469484544,1437138505604423689
1437175502029004801,1437072803820232708
1437175500800147460,1437162999094067201
1437175499785228295,1437000319448330243
1437175497423790088,1436971879244382210
1437175497205555204,1437072803820232708
1437175494546378753,1437174781065973763
1437175494504587264,1437072803820232708
1437175494399578115,1437072803820232708
1437175490205429763,1437170171496570882
1437175486669475844,1437160487280537604
1437175484685721601,1437170171496570882
1437175477660233728,1437170171496570882
1437175476867325955,1436666570646822919
1437175464913633282,1437072803820232708
1437175463189757953,1437072222166732802
1437175462191681539,1436982644965842944
1437175459033194498,1424697951088041990
1437175458362241033,1437091293872668677
1437175456889966595,1437175310164840449
1437175455140904963,1437174781065973763
1437175447750594568,1436971879244382210
1437175447121502209,1437072803820232708
1437175446588829699,1437174781065973763
1437175443577319426,1437170171496570882
1437175433397686275,1436844481769353221
1437175431858372612,1437072803820232708
1437175426691051520,1437174799923511297
1437175426489765891,1434945002950516742
1437175418176552972,1437000247540994058
1437175416062726150,1437174781065973763
1437175407661355008,1437174781065973763
1437175401261015042,1437129100917891072
1437175396290682887,1437164478525808642
1437175390565552131,1437165017267322885
1437175389869256705,1437072803820232708
1437175388539588616,1437174147956854784
1437175387923099659,1437158821479211012
1437175376535564290,1437072803820232708
1437175373511503872,1437174781065973763
1437175363663278084,1437043515066888197
1437175363252080643,1437174781065973763
1437175362279002115,1437072803820232708
1437175361452875787,1437174781065973763
1437175349285212160,1437057096516780035
1437175348072890368,1437072222166732802
1437175331421622275,1436982636413657101
1437175318683557888,1437072803820232708
1437175312131964932,1436884710785912833
1437175307577053192,1436171597027504129
1437175305991438338,1437173854879817729
1437175301130395657,1437170171496570882
1437175290829099010,1437047494622564353
1437175289419862019,1437174781065973763
1437175286852997128,1437073241697361922
1437175282511736834,1437073241697361922
1437175282352463873,1437174781065973763
1437175281123426307,1437174970963087362
1437175275846918149,1437166577141624832
1437175274563522561,1437136332460072961
1437175273884106757,1437164478525808642
1437175266510508035,1437000319448330243
1437175262559539203,1436884710785912833
1437175261745745923,1437072803820232708
1437175246470197254,1437174781065973763
1437175245144797187,1437173810663510024
1437175237230137346,1436810986321846277
1437175235632156682,1437164478525808642
1437175223380549632,1437133132029853697
1437175212349399040,1437110038439546891
1437175208327122948,1437073241697361922
1437175205789634563,1437149643633217537
1437175201406636034,1437162400441061386
1437175188622397444,1437133172924366848
1437175186361491458,1437172018676436996
1437175175611621378,1436874954281213955
1437175174751608832,1437072803820232708
1437175174579867656,1437148322599514112
1437175172679680004,1436995860303384580
1437175170410549254,1437108778185408516
1437175166438543364,1437110038439546891
1437175165830385666,1437173791948349441
1437175164417069057,1437000319448330243
1437175163078934529,1437072803820232708
1437175160784637953,1437057096516780035
1437175159878606849,1437168817197641730
1437175153855762435,1436995860303384580
1437175151326638090,1437174970963087362
1437175151083368457,1437164673317720065
1437175150571626497,1437170171496570882
1437175150353518593,1437095621668876299
1437175145077039106,1436995860303384580
1437175142887604229,1437146081679364099
1437175141285474306,1437047494622564353
1437175136508125186,1437072803820232708
1437175133815386116,1437049795454119937
1437175123484848134,1436995860303384580
1437175122389987338,1437073241697361922
1437175121349791744,1437173317903941632
1437175118891864064,1437110038439546891
1437175114903261195,1437145466903285760
1437175114018209793,1436798924401033221
1437175103704473608,1436995860303384580
1437175101422772224,1437149882133979145
1437175100457963524,1437173539677917186
1437175100353171459,1437174781065973763
1437175100256575489,1437072803820232708
1437175099665240064,1436777620172124167
1437175093185105929,1437111677649051649
1437175087879180289,1437174781065973763
1437175083114668034,1437138624131239942
1437175075728502795,1436884710785912833
1437175068375728136,1437022206530293764
1437175052491841541,1436892362408480768
1437175051527278600,1437172537117401091
1437175050982014976,1437174572164554760
1437175045760106498,1437111677649051649
1437175045030232066,1437072803820232708
1437175041855266825,1437072803820232708
1437175040106106880,1437073241697361922
1437175039393099778,1437174781065973763
1437175038860398595,1436864933799636992
1437175038831218690,1437000319448330243
1437175028492083200,1437072803820232708
1437175020611112963,1437174781065973763
1437175016731418628,1437162999094067201
1437175016412512262,1437072803820232708
1437175015187832838,1437174572164554760
1437175013455527936,1437072803820232708
1437175011618566145,1437170171496570882
1437175005624819717,1437072803820232708
1437175005494841344,1437158766164811779
1437175004815314944,1436995860303384580
1437174997819273219,1436988505213870092
1437174996984483843,1436886480119468034
1437174994702852104,1437072803820232708
1437174994031845376,1437170171496570882
1437174989711679490,1437174781065973763
1437174985798291458,1437174799923511297
1437174977053147139,1436889880303476736
1437174972913487875,1437072803820232708
1437174966370328577,1437174781065973763
1437174957495160832,1437174392518287361
1437174956627046406,1436982344917868544
1437174955116929030,1437174781065973763
1437174951333687297,1437072803820232708
1437174949832187909,1437110038439546891
1437174943880564741,1437170171496570882
1437174937614106625,1437073241697361922
1437174935336652805,1437131259914883076
1437174933579255808,1437170171496570882
1437174932257972225,1437073241697361922
1437174920862126080,1436904102991126529
1437174917238243336,1437149029574512653
1437174916474761216,1437034991377006593
1437174914956464130,1437072803820232708
1437174914721533955,1436595147865743363
1437174914004443136,1436783754845040640
